account_name,campaign_id,adset_id,campaign_name,adset_name,effective_status,delivery_status,daily_budget,bid_amount,bid_strategy,budget_optimization,roas_target,objective,optimization_goal,geo_countries,language,creation_date,start_time
ACC-01,730151843849929835,730131742827261201,own_rsoc_[ch=23079]_vtag:_131618_prst:315_conf:134_usr:42_MU_date:20260310_Version:2514_1762_US On_71_131618_2772597,own_rsoc_[ch=23079]_vtag:_131618_prst:315_conf:134_usr:42_MU_date:20260310_Version:2514_1762_US On,PAUSED,CAMPAIGN_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.7,OUTCOME_SALES,VALUE,"[""US""]",en,2026-03-10 10:03:25+00,2026-03-10 10:03:27+00
ACC-01,730117725739308999,730123674444988656,own_rsoc_[ch=83544]_vtag:_296273_prst:315_conf:803_usr:42_MU_date:20260310_Version:4602_1762_US On_71_296273_1044150,own_rsoc_[ch=83544]_vtag:_296273_prst:315_conf:803_usr:42_MU_date:20260310_Version:4602_1762_US On,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.9,OUTCOME_SALES,VALUE,"[""US""]",NO_LANGUAGE,2026-03-10 10:08:09+00,2026-03-10 10:08:10+00
ACC-01,730143734645586757,730130263616978027,own_rsoc_[ch=92638]_vtag:_1029_prst:315_conf:157_usr:42_MU_date:20260310_Version:3399_1762_US On_71_1029_1029,own_rsoc_[ch=92638]_vtag:_1029_prst:315_conf:157_usr:42_MU_date:20260310_Version:3399_1762_US On,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITHOUT_CAP,ABO,,OUTCOME_SALES,VALUE,"[""US""]",en,2026-03-10 18:53:43+00,2026-03-10 23:00:00+00
ACC-01,730116499275252307,730125673995817337,own_rsoc_[ch=26175]_vtag:_3649_prst:315_conf:240_usr:42_MU_date:20260310_Version:2767_1762_World_50_3649_3649,own_rsoc_[ch=26175]_vtag:_3649_prst:315_conf:240_usr:42_MU_date:20260310_Version:2767_1762_World,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.3,OUTCOME_SALES,VALUE,"[""US"", ""IN"", ""AL"", ""NP"", ""ME"", ""SN"", ""GE"", ""UG"", ""IE"", ""ZW"", ""CI"", ""AZ"", ""TZ"", ""LY"", ""CM"", ""BW"", ""IT"", ""ET"", ""KZ"", ""NA"", ""MD"", ""JP"", ""KH"", ""LB"", ""AM"", ""MY"", ""MN"", ""MZ"", ""MX"", ""AO"", ""UZ"", ""NL"", ""LA"", ""NZ"", ""NO"", ""CA"", ""PK"", ""SA"", ""ZA"", ""KR"", ""ES"", ""SE"", ""CH"", ""TR"", ""AE"", ""GB"", ""IL"", ""DO"", ""FI"", ""DK"", ""BE"", ""PA"", ""JO"", ""GR"", ""VE"", ""AR"", ""AU"", ""CL"", ""PE"", ""AT"", ""PH"", ""KW"", ""HK"", ""BR"", ""HR"", ""PL"", ""RS"", ""NG"", ""PT"", ""LU"", ""BG"", ""CZ"", ""SI"", ""CO"", ""IS"", ""SK"", ""LT"", ""TT"", ""BD"", ""LK"", ""KE"", ""HU"", ""MA"", ""CY"", ""EG"", ""JM"", ""EC"", ""RO"", ""BO"", ""GT"", ""CR"", ""QA"", ""SV"", ""HN"", ""NI"", ""FR"", ""PY"", ""UY"", ""PR"", ""BA"", ""TN"", ""BH"", ""VN"", ""GH"", ""MU"", ""DE"", ""UA"", ""MT"", ""OM"", ""MK"", ""EE"", ""LV"", ""IQ"", ""DZ""]",en,2026-03-10 18:54:15+00,2026-03-10 23:30:00+00
ACC-01,730114156696887215,730117321648276920,own_rsoc_[ch=51181]_vtag:_2419_prst:315_conf:184_usr:42_MU_date:20260310_Version:3333_1762_Engli_3_2419_2419,own_rsoc_[ch=51181]_vtag:_2419_prst:315_conf:184_usr:42_MU_date:20260310_Version:3333_1762_Engli,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITHOUT_CAP,ABO,,OUTCOME_SALES,VALUE,"[""US"", ""IE"", ""NZ"", ""CA"", ""GB"", ""AU""]",en,2026-03-10 18:54:49+00,2026-03-11 23:00:00+00
ACC-01,730133284631159178,730118675717364399,own_rsoc_[ch=14983]_vtag:_2419_prst:315_conf:317_usr:42_MU_date:20260310_Version:3333_1762_World_50_2419_2419,own_rsoc_[ch=14983]_vtag:_2419_prst:315_conf:317_usr:42_MU_date:20260310_Version:3333_1762_World,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.7,OUTCOME_SALES,VALUE,"[""US"", ""IN"", ""AL"", ""NP"", ""ME"", ""SN"", ""GE"", ""UG"", ""IE"", ""ZW"", ""CI"", ""AZ"", ""TZ"", ""LY"", ""CM"", ""BW"", ""IT"", ""ET"", ""KZ"", ""NA"", ""MD"", ""JP"", ""KH"", ""LB"", ""AM"", ""MY"", ""MN"", ""MZ"", ""MX"", ""AO"", ""UZ"", ""NL"", ""LA"", ""NZ"", ""NO"", ""CA"", ""PK"", ""SA"", ""ZA"", ""KR"", ""ES"", ""SE"", ""CH"", ""TR"", ""AE"", ""GB"", ""IL"", ""DO"", ""FI"", ""DK"", ""BE"", ""PA"", ""JO"", ""GR"", ""VE"", ""AR"", ""AU"", ""CL"", ""PE"", ""AT"", ""PH"", ""KW"", ""HK"", ""BR"", ""HR"", ""PL"", ""RS"", ""NG"", ""PT"", ""LU"", ""BG"", ""CZ"", ""SI"", ""CO"", ""IS"", ""SK"", ""LT"", ""TT"", ""BD"", ""LK"", ""KE"", ""HU"", ""MA"", ""CY"", ""EG"", ""JM"", ""EC"", ""RO"", ""BO"", ""GT"", ""CR"", ""QA"", ""SV"", ""HN"", ""NI"", ""FR"", ""PY"", ""UY"", ""PR"", ""BA"", ""TN"", ""BH"", ""VN"", ""GH"", ""MU"", ""DE"", ""UA"", ""MT"", ""OM"", ""MK"", ""EE"", ""LV"", ""IQ"", ""DZ""]",en,2026-03-10 18:54:50+00,2026-03-11 23:00:00+00
ACC-01,730122062284874780,730128204764516102,own_rsoc_[ch=55890]_vtag:_3430_prst:315_conf:803_usr:42_MU_date:20260310_Version:1566_1762_US On_71_3430_3430,own_rsoc_[ch=55890]_vtag:_3430_prst:315_conf:803_usr:42_MU_date:20260310_Version:1566_1762_US On,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.9,OUTCOME_SALES,VALUE,"[""US""]",en,2026-03-10 18:55:21+00,2026-03-11 23:30:00+00
ACC-01,730161338627644566,730115314918447282,own_rsoc_[ch=12125]_vtag:_9460_prst:315_conf:134_usr:42_MU_date:20260310_Version:3106_1762_US On_71_9460_9460,own_rsoc_[ch=12125]_vtag:_9460_prst:315_conf:134_usr:42_MU_date:20260310_Version:3106_1762_US On,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.7,OUTCOME_SALES,VALUE,"[""US""]",en,2026-03-10 18:56:08+00,2026-03-10 23:00:00+00
ACC-01,730118499389843652,730132100185286150,own_rsoc_[ch=16082]_vtag:_3810_prst:315_conf:803_usr:42_MU_date:20260310_Version:1802_1762_US On_71_3810_3810,own_rsoc_[ch=16082]_vtag:_3810_prst:315_conf:803_usr:42_MU_date:20260310_Version:1802_1762_US On,ACTIVE,ADSET_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.9,OUTCOME_SALES,VALUE,"[""US""]",en,2026-03-10 18:56:40+00,2026-03-11 23:15:00+00
ACC-01,730114574602616442,730168405240720533,own_rsoc_[ch=27888]_vtag:_9130_prst:315_conf:480_usr:42_MU_date:20260310_Version:1433_1762_US On_71_9130_9130,own_rsoc_[ch=27888]_vtag:_9130_prst:315_conf:480_usr:42_MU_date:20260310_Version:1433_1762_US On,PAUSED,CAMPAIGN_OFF,635.0,,LOWEST_COST_WITH_MIN_ROAS,ABO,0.85,OUTCOME_SALES,VALUE,"[""US""]",en,2026-03-10 18:57:16+00,2026-03-10 23:00:00+00
