adset_id,fb_ad_account_id,account_name,date,spend,impressions,clicks,fb_conversions,estimated_conversions,revenue,profit,roi,rpc,cpa,ctr,cr,first_spend_date,spend_day_no
730127988250776273,9948963373021856,ACC-01,2026-06-06,76.2762,26581,3377,363,375.0,86.4235,10.1473,0.133,0.2305,0.2034,0.127046,0.107492,2026-05-07,31
730127988250776273,9948963373021856,ACC-01,2026-06-07,114.8461,43890,5647,609,609.0,145.6055,30.7594,0.2678,0.2391,0.1886,0.128663,0.107845,2026-05-07,32
730127988250776273,9948963373021856,ACC-01,2026-06-08,127.5588,45368,6128,625,639.0,148.9837,21.4249,0.168,0.2332,0.1996,0.135073,0.101991,2026-05-07,33
730127988250776273,9948963373021856,ACC-01,2026-06-09,100.9904,41557,5167,541,541.0,106.0577,5.0673,0.0502,0.196,0.1867,0.124335,0.104703,2026-05-07,34
730127988250776273,9948963373021856,ACC-01,2026-06-10,95.5929,34872,4380,470,470.0,109.601,14.0081,0.1465,0.2332,0.2034,0.125602,0.107306,2026-05-07,35
730127988250776273,9948963373021856,ACC-01,2026-06-11,103.8479,32381,4035,523,523.0,133.1849,29.337,0.2825,0.2547,0.1986,0.12461,0.129616,2026-05-07,36
730127988250776273,9948963373021856,ACC-01,2026-06-12,66.3067,21563,2811,306,306.0,73.8124,7.5057,0.1132,0.2412,0.2167,0.130362,0.108858,2026-05-07,37
730129999836227346,9948963373021856,ACC-01,2026-06-06,7.4168,2421,125,24,26.0,12.8778,5.461,0.7363,0.4953,0.2853,0.051632,0.192,2026-05-24,14
730129999836227346,9948963373021856,ACC-01,2026-06-07,12.8016,4767,213,37,37.0,20.9169,8.1153,0.6339,0.5653,0.346,0.044682,0.173709,2026-05-24,15
730129999836227346,9948963373021856,ACC-01,2026-06-08,13.6144,5119,271,50,50.0,20.3835,6.7691,0.4972,0.4077,0.2723,0.05294,0.184502,2026-05-24,16
730129999836227346,9948963373021856,ACC-01,2026-06-09,19.3929,6832,313,65,68.0,26.289,6.8961,0.3556,0.3866,0.2852,0.045814,0.207668,2026-05-24,17
730129999836227346,9948963373021856,ACC-01,2026-06-10,20.6121,6239,342,56,56.0,21.5392,0.9271,0.045,0.3846,0.3681,0.054816,0.163743,2026-05-24,18
730129999836227346,9948963373021856,ACC-01,2026-06-11,31.3182,7860,471,99,99.0,36.4363,5.1181,0.1634,0.368,0.3163,0.059924,0.210191,2026-05-24,19
730129999836227346,9948963373021856,ACC-01,2026-06-12,24.7015,5995,316,82,82.0,32.9438,8.2423,0.3337,0.4018,0.3012,0.052711,0.259494,2026-05-24,20
730125047131027172,9948963373021856,ACC-01,2026-06-06,1.2192,181,16,4,4.0,0.4318,-0.7874,-0.6458,0.108,0.3048,0.088398,0.25,2026-05-29,9
730125047131027172,9948963373021856,ACC-01,2026-06-07,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-05-29,9
730125047131027172,9948963373021856,ACC-01,2026-06-08,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-05-29,9
730125047131027172,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-05-29,9
730125047131027172,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-29,9
730125047131027172,9948963373021856,ACC-01,2026-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-29,9
730125047131027172,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-29,9
730115349711532218,9948963373021856,ACC-01,2026-06-06,2.3241,1170,59,14,14.0,3.0607,0.7366,0.3169,0.2186,0.166,0.050427,0.237288,2026-06-05,2
730115349711532218,9948963373021856,ACC-01,2026-06-07,2.9083,1615,82,8,8.0,2.2352,-0.6731,-0.2314,0.2794,0.3635,0.050774,0.097561,2026-06-05,3
730115349711532218,9948963373021856,ACC-01,2026-06-08,2.4003,1241,57,10,10.0,1.3335,-1.0668,-0.4444,0.1334,0.24,0.045931,0.175439,2026-06-05,4
730115349711532218,9948963373021856,ACC-01,2026-06-09,0.6985,370,21,1,1.0,0.1397,-0.5588,-0.8,0.1397,0.6985,0.056757,0.047619,2026-06-05,5
730115349711532218,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-05,5
730115349711532218,9948963373021856,ACC-01,2026-06-11,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-05,5
